County,2017 NAICS code (NAICS2017),Meaning of NAICS Code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),GeoFIPS,Region,TableName,LineCode,IndustryClassification,Description,Unit,2017,2018,2019,2020,2021,2022
langlade wisconsin,0,Total for all sectors,All establishments,All establishments,2021,544,"2,74,376","60,419","6,244"," ""55067""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,752062,767339,765257,790579,822355,859380
lincoln wisconsin,0,Total for all sectors,All establishments,All establishments,2021,674,"3,74,581","95,115","8,054"," ""55069""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1448542,1412181,1431647,1415087,1454089,1540574
manitowoc wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,718","13,84,954","3,22,571","28,694"," ""55071""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,4068405,4044635,4163968,4091633,4446084,4822202
marathon wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"3,375","32,81,058","7,49,725","62,281"," ""55073""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,8263012,8705146,9341477,9057884,9795354,10524522
marinette wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,045","7,03,854","1,61,207","14,901"," ""55075""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1928671,2061533,2056914,1978026,2100297,2285235
marquette wisconsin,0,Total for all sectors,All establishments,All establishments,2021,268,"1,36,687","34,061","3,393"," ""55077""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,425505,430694,448105,445788,475452,497396
menominee wisconsin,0,Total for all sectors,All establishments,All establishments,2021,22,"31,284","7,497","1,011"," ""55078""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,161696,166660,169115,162972,188490,201451
milwaukee wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"20,215","2,71,78,417","65,07,513","4,25,956"," ""55079""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,57690957,60063458,61695052,60236545,64857096,69337593
monroe wisconsin,0,Total for all sectors,All establishments,All establishments,2021,963,"7,92,673","1,87,849","15,776"," ""55081""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,2285980,2446232,2417879,2387423,2560749,2772975
oconto wisconsin,0,Total for all sectors,All establishments,All establishments,2021,782,"2,73,449","60,235","6,801"," ""55083""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,994058,1036166,1076686,1072155,1156169,1210914
oneida wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,371","5,89,712","1,37,737","12,705"," ""55085""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1688306,1799283,1800695,1851004,1946585,2050403
outagamie wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"5,161","55,49,722","12,87,715","97,160"," ""55087""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,12306116,12933811,13578076,13217750,14009764,14946057
ozaukee wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"2,802","19,81,922","4,53,051","37,706"," ""55089""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,5305951,5394321,5669574,5447227,5720658,6213131
pepin wisconsin,0,Total for all sectors,All establishments,All establishments,2021,216,"77,630","17,094","1,655"," ""55091""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,245861,255937,271675,293052,332196,353254
pierce wisconsin,0,Total for all sectors,All establishments,All establishments,2021,787,"2,82,688","59,785","6,750"," ""55093""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1104012,1206861,1176818,1226675,1327793,1431521
polk wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,149","5,99,643","1,36,553","14,041"," ""55095""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1526846,1578665,1624631,1670833,1760962,1896111
portage wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,682","14,14,124","3,59,403","28,353"," ""55097""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,4036488,4237900,4454106,4320334,4622320,4886367
price wisconsin,0,Total for all sectors,All establishments,All establishments,2021,370,"1,73,423","39,271","3,955"," ""55099""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,608827,603922,636675,610063,627216,676817
racine wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"4,057","37,24,427","8,03,767","65,584"," ""55101""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,8168961,8472437,8658044,8889241,9277609,9908883
richland wisconsin,0,Total for all sectors,All establishments,All establishments,2021,369,"1,77,781","41,644","4,366"," ""55103""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,740352,722131,770955,712651,755378,850717
rock wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"3,389","32,27,964","8,13,915","58,987"," ""55105""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,6935931,7427067,7833705,7958487,8526813,9277006
rusk wisconsin,0,Total for all sectors,All establishments,All establishments,2021,315,"1,50,139","34,498","3,713"," ""55107""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,558114,548118,572438,582368,617695,658683
st. croix wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"2,351","15,00,866","3,28,804","31,678"," ""55109""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,3878290,4055520,4211475,4294649,4690474,5126819
sauk wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,819","14,05,080","3,14,394","30,095"," ""55111""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,3714789,3929937,4175151,3971973,4525999,4844425
sawyer wisconsin,0,Total for all sectors,All establishments,All establishments,2021,634,"2,35,929","54,333","5,146"," ""55113""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,672743,673254,735102,734319,787237,834319
shawano wisconsin,0,Total for all sectors,All establishments,All establishments,2021,888,"3,96,640","90,171","9,822"," ""55115""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1324856,1345867,1413289,1388852,1474516,1587203
sheboygan wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"2,668","26,24,745","6,36,767","51,068"," ""55117""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,7028622,7265319,7287376,7295590,7689517,8087067
taylor wisconsin,0,Total for all sectors,All establishments,All establishments,2021,473,"3,58,997","87,414","7,214"," ""55119""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,859281,863254,886803,906573,945654,981264
trempealeau wisconsin,0,Total for all sectors,All establishments,All establishments,2021,669,"6,52,877","1,51,201","14,679"," ""55121""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1372876,1414904,1414417,1375684,1523494,1677429
vernon wisconsin,0,Total for all sectors,All establishments,All establishments,2021,634,"2,81,864","64,351","6,591"," ""55123""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1082886,1124655,1092051,1098689,1170293,1231965
vilas wisconsin,0,Total for all sectors,All establishments,All establishments,2021,978,"2,28,955","45,747","5,892"," ""55125""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,948755,1015067,976498,963922,989520,1038127
walworth wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"2,777","15,52,954","3,41,443","35,019"," ""55127""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,4344817,4510478,4730390,4685128,5066744,5490338
washburn wisconsin,0,Total for all sectors,All establishments,All establishments,2021,516,"1,63,220","37,114","4,204"," ""55129""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,600223,612297,634511,621336,666900,688139
washington wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"3,329","26,64,896","6,22,411","52,077"," ""55131""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,6519931,6805344,7153280,6797499,7376494,7904998
waukesha wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"12,711","1,48,06,578","35,46,096","2,32,599"," ""55133""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,29764399,30554646,32194007,32174815,34507961,37107272
waupaca wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,171","6,41,848","1,44,322","15,410"," ""55135""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,1998537,2044984,2063295,1973326,2135072,2269657
waushara wisconsin,0,Total for all sectors,All establishments,All establishments,2021,456,"2,01,688","53,293","4,679"," ""55137""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,630113,656246,705922,669039,744193,779874
winnebago wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"3,669","48,46,066","11,59,722","87,448"," ""55139""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,10256853,10674848,11174242,11135535,11620371,12397611
wood wisconsin,0,Total for all sectors,All establishments,All establishments,2021,"1,741","18,90,065","4,42,977","35,524"," ""55141""",3,CAGDP2,1,...,All industry total ,Thousands of dollars,3959282,4043187,4327514,4363900,4468913,4699194
albany wyoming,0,Total for all sectors,All establishments,All establishments,2021,"1,055","3,90,427","88,721","9,921"," ""56001""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,1577300,1588415,1580595,1659785,1747979,1902289
big horn wyoming,0,Total for all sectors,All establishments,All establishments,2021,309,"1,15,891","24,203","2,441"," ""56003""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,499564,514497,535249,509702,553485,609024
campbell wyoming,0,Total for all sectors,All establishments,All establishments,2021,"1,464","10,73,734","2,55,723","17,705"," ""56005""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,5405708,5462957,5480068,5159803,5585505,7592081
carbon wyoming,0,Total for all sectors,All establishments,All establishments,2021,507,"2,11,837","58,617","4,012"," ""56007""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,1129255,1360790,1425273,977939,1513050,2133795
converse wyoming,0,Total for all sectors,All establishments,All establishments,2021,433,"2,17,408","49,326","3,635"," ""56009""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,1122856,1359086,1751509,1336556,1513522,2070642
crook wyoming,0,Total for all sectors,All establishments,All establishments,2021,264,"86,441","17,879","1,606"," ""56011""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,309349,311565,309778,330993,361949,405895
fremont wyoming,0,Total for all sectors,All establishments,All establishments,2021,"1,244","4,04,635","93,886","9,515"," ""56013""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,1729469,1776873,1654743,1602635,1742621,1958742
goshen wyoming,0,Total for all sectors,All establishments,All establishments,2021,328,"1,07,919","23,655","2,865"," ""56015""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,494990,512767,498902,483688,531294,550744
hot springs wyoming,0,Total for all sectors,All establishments,All establishments,2021,177,"64,738","14,088","1,437"," ""56017""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,220207,247153,224750,279583,290822,306305
johnson wyoming,0,Total for all sectors,All establishments,All establishments,2021,526,"1,09,766","24,084","2,560"," ""56019""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,403444,413477,397966,392247,451018,508809
laramie wyoming,0,Total for all sectors,All establishments,All establishments,2021,"3,471","17,88,625","3,97,057","34,418"," ""56021""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,5428708,5946970,6227079,5818556,6712603,7545325
lincoln wyoming,0,Total for all sectors,All establishments,All establishments,2021,886,"3,04,443","68,994","5,666"," ""56023""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,819197,841999,869009,851806,972193,1144300
natrona wyoming,0,Total for all sectors,All establishments,All establishments,2021,"2,930","16,08,456","3,69,150","30,537"," ""56025""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,5594566,6088936,5944997,5291154,5652220,6272555
niobrara wyoming,0,Total for all sectors,All establishments,All establishments,2021,72,"11,739","2,660",342," ""56027""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,119805,131085,119467,133528,135633,135619
park wyoming,0,Total for all sectors,All establishments,All establishments,2021,"1,286","4,40,324","96,574","9,827"," ""56029""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,1480255,1551873,1584728,1405882,1585849,1833893
platte wyoming,0,Total for all sectors,All establishments,All establishments,2021,270,"98,135","22,526","2,101"," ""56031""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,608927,632494,612639,580656,614749,673943
sheridan wyoming,0,Total for all sectors,All establishments,All establishments,2021,"1,941","6,47,623","1,37,900","12,450"," ""56033""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,1412217,1450762,1523754,1427909,1624096,1784129
sublette wyoming,0,Total for all sectors,All establishments,All establishments,2021,439,"1,46,595","38,672","2,400"," ""56035""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,1388086,1342825,1076953,750892,1196045,1508527
sweetwater wyoming,0,Total for all sectors,All establishments,All establishments,2021,"1,175","9,25,172","2,14,469","14,288"," ""56037""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,3769766,3822174,3792838,3399440,3814348,4118875
teton wyoming,0,Total for all sectors,All establishments,All establishments,2021,"2,345","10,45,848","2,16,161","17,975"," ""56039""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,2527529,2618310,2761029,2819873,3947580,4156308
uinta wyoming,0,Total for all sectors,All establishments,All establishments,2021,570,"2,73,061","62,349","5,680"," ""56041""",7,CAGDP2,1,...,All industry total ,Thousands of dollars,951381,964606,923261,823225,913936,1033918
